state,easing_soc_dist,stay_home_ord,traveler_quarant,business_clos,gathering_ban,school_clos,rest_lims,primaries,emergency_date,emergency,order_date
Alabama,1,Lifted,No information,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-03-13,Yes,2020-03-13
Alaska,1,Lifted,All Travelers,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to 50+ People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Remote,2020-03-11,Yes,2020-03-11
Arizona,1,Statewide,From Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-03-11,Yes,2020-03-11
Arkansas,1,No,No information,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-03-11,Yes,2020-03-11
California,1,Statewide,No information,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Gatherings Prohibited,Recommended Closure for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-03-04,Yes,2020-03-04
Colorado,1,Rolled Back to High Risk Groups,No information,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to >10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-03-11,Yes,2020-03-11
Connecticut,0,Statewide,No information,All Non-Essential Businesses Closed,Other,Closed for School Year,Closed Except for Takeout/Delivery,Postponed,2020-03-10,Yes,2020-03-10
Delaware,1,Statewide,All Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Postponed,2020-03-13,Yes,2020-03-13
District of Columbia,0,Statewide,No information,All Non-Essential Businesses Closed,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Postponed,2020-03-11,Yes,2020-03-11
Florida,1,Lifted,From Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Other,Recommended Closure for School Year,Reopened to Dine-in Service with Capacity Limits,Unchanged,2020-03-01,Yes,2020-03-01
Georgia,1,Rolled Back to High Risk Groups,No information,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Postponed,2020-03-14,Yes,2020-03-14
Hawaii,1,Statewide,All Travelers,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Remote,2020-03-04,Yes,2020-03-04
Idaho,1,Lifted,All Travelers,Some Non-Essential Businesses Permitted to Reopen,Lifted,Recommended Closure,Closed Except for Takeout/Delivery,Unchanged,2020-03-13,Yes,2020-03-13
Illinois,0,Statewide,No information,All Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-04-01,Yes,2020-04-01
Indiana,1,Lifted,No information,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to >25 People Prohibited,Closed,Closed Except for Takeout/Delivery,Postponed,2020-03-06,Yes,2020-03-06
Iowa,1,No,No information,All Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Unchanged,2020-03-17,Yes,2020-03-17
Kansas,1,Lifted,From Certain States,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Closed for School Year,Limited Dine-in Service,Remote,2020-03-07,Yes,2020-03-07
Kentucky,1,Statewide,Lifted,Some Non-Essential Businesses Closed,All Gatherings Prohibited,Recommended Closure for School Year,Closed Except for Takeout/Delivery,Postponed,2020-03-06,Yes,2020-03-06
Louisiana,0,Statewide,No information,Some Non-Essential Businesses Closed,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Postponed,2020-03-11,Yes,2020-03-11
Maine,1,Statewide,All Travelers,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Recommended Closure for School Year,Closed Except for Takeout/Delivery,Postponed,2020-03-15,Yes,2020-03-15
Maryland,0,Statewide,All Travelers,All Non-Essential Businesses Closed,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Postponed,2020-03-05,Yes,2020-03-05
Massachusetts,0,Statewide,All Travelers,All Non-Essential Businesses Closed,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-03-10,Yes,2020-03-10
Michigan,1,Statewide,No information,Some Non-Essential Businesses Permitted to Reopen,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-03-10,Yes,2020-03-10
Minnesota,1,Statewide,No information,Some Non-Essential Businesses Permitted to Reopen,No information,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-03-16,Yes,2020-03-16
Mississippi,1,Lifted,No information,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Postponed,2020-03-14,Yes,2020-03-14
Missouri,1,Lifted,No information,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Unchanged,2020-03-13,Yes,2020-03-13
Montana,1,Lifted,All Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Rescinded,Reopened to Dine-in Service with Capacity Limits,Postponed,2020-03-12,Yes,2020-03-12
Nebraska,1,No,No information,No information,>10 People Prohibited,Closed,Reopened to Dine-in Service with Capacity Limits,Unchanged,2020-03-13,Yes,2020-03-13
Nevada,1,Statewide,No information,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Unchanged,2020-03-13,Yes,2020-03-13
New Hampshire,0,Statewide,No information,All Non-Essential Businesses Closed,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-03-13,Yes,2020-03-13
New Jersey,0,Statewide,No information,Some Non-Essential Businesses Closed,All Gatherings Prohibited,Closed,Closed Except for Takeout/Delivery,Postponed,2020-03-09,Yes,2020-03-09
New Mexico,0,Statewide,All Air Travelers,All Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Limited Dine-in Service,Postponed,2020-03-11,Yes,2020-03-11
New York,0,Statewide,No information,All Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Cancelled,2020-03-07,Yes,2020-03-07
North Carolina,1,Statewide,No information,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed,Closed Except for Takeout/Delivery,Unchanged,2020-03-10,Yes,2020-03-10
North Dakota,1,No,All Travelers,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,No information,Closed,Reopened to Dine-in Service with Capacity Limits,Unchanged,2020-03-13,Yes,2020-03-13
Ohio,1,Statewide,All Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Remote,2020-03-09,Yes,2020-03-09
Oklahoma,1,High-Risk Groups,From Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Unchanged,2020-03-15,Yes,2020-03-15
Oregon,0,Statewide,No information,Some Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-03-08,Yes,2020-03-08
Pennsylvania,1,Statewide,No information,All Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Postponed,2020-03-06,Yes,2020-03-06
Rhode Island,0,Statewide,All Travelers,Some Non-Essential Businesses Closed,Other,Closed,Closed Except for Takeout/Delivery,Postponed,2020-03-09,Yes,2020-03-09
South Carolina,1,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen,All Gatherings Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Unchanged,2020-03-13,Yes,2020-03-13
South Dakota,1,No,No information,No information,Lifted,Recommended Closure for School Year,No information,Postponed,2020-03-13,Yes,2020-03-13
Tennessee,1,Lifted,No information,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Recommended Closure for School Year,Reopened to Dine-in Service with Capacity Limits,Unchanged,2020-03-12,Yes,2020-03-12
Texas,1,Lifted,From Certain States,No information,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Unchanged,2020-03-13,Yes,2020-03-13
Utah,1,Lifted,Rolled Back to Certain States,No information,Expanded to 20+ People Prohibited,Closed for School Year,Reopened to Dine-in Service,Unchanged,2020-03-06,Yes,2020-03-06
Vermont,1,Statewide,All Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-03-13,Yes,2020-03-13
Virginia,0,Statewide,No information,Some Non-Essential Businesses Closed,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-03-12,Yes,2020-03-12
Washington,0,Statewide,No information,All Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-02-29,Yes,2020-02-29
West Virginia,1,Lifted,From Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to 25+ People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Postponed,2020-03-04,Yes,2020-03-04
Wisconsin,0,Statewide,No information,All Non-Essential Businesses Closed,All Gatherings Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,Unchanged,2020-03-12,Yes,2020-03-12
Wyoming,0,No,All Travelers,No information,>10 People Prohibited,Closed,Closed Except for Takeout/Delivery,Remote,2020-03-13,Yes,2020-03-13
