state,polarity,subjectivity
AK,0.06797331875823891,0.360932358666153
AL,0.059283355919248305,0.34067375327252214
AR,0.051017368664200397,0.36359229490428036
AZ,0.059011723494074506,0.3443604713190902
CA,0.06691627896562276,0.3472740427428475
CO,0.05768745504355042,0.3434501749456127
CT,0.07733450255654246,0.36366329718209894
DC,0.07299734062628367,0.3536664372686182
DE,0.07793732246698806,0.3598247212310773
FL,0.0566970974201697,0.33057352151444486
GA,0.0732719064966517,0.36059715029375766
HI,0.05192556888447803,0.30650049895820414
IA,0.0733218211527035,0.35989002419149474
ID,0.05795547162627288,0.36989674717675985
IL,0.08900257121350869,0.3415894418081918
IN,0.06184201791708312,0.3400854077795532
KS,0.061155633738781,0.3328166474763916
KY,0.062223188843914735,0.3405523075865567
LA,0.05141490133672414,0.3415177122447322
MA,0.08903441241785272,0.36011249332032763
MD,0.05808424070069519,0.34305024771494663
ME,0.06693002494747657,0.34587626879749855
MI,0.05947124493155283,0.3535462166402032
MN,0.05328081878781272,0.35717147491986617
MO,0.08002480450357762,0.3527230683408509
MS,0.06676670830482885,0.36134026200847996
MT,0.030874209046124642,0.34859034608008654
NC,0.12544777940748333,0.33530583679843556
NE,0.07348737391014099,0.38024101900683094
NH,0.1048549006323397,0.3705146925116438
NJ,0.04859021267490171,0.33626212998926275
NM,0.05563531215432464,0.34998060589739394
NV,0.04635977665104207,0.36208832522397183
NY,0.07056694846125151,0.3698555172567423
OH,0.04634318499154042,0.3332497818577159
OK,0.06945505239847656,0.3521483573257214
OR,0.06374215473898653,0.3683207734948486
PA,0.08453017358447384,0.3612591358416499
RI,0.07473344485100422,0.3579300147238436
SC,0.08700477089410998,0.3466736735986531
SD,0.0893485911490745,0.33022303053989427
TN,0.06646132456024763,0.3631878018687729
TX,0.06687705762199408,0.3454468193649642
UT,0.07259055671262471,0.3567738519594702
VA,0.07446206801493506,0.3394921370195501
VT,0.06272733852414024,0.3476786896123698
WA,0.08621142118463553,0.36646197089947075
WI,0.030836805875647685,0.4055703330985818
WV,0.009999999999999986,0.65
WY,0.07102199954309378,0.354851517787265
